text,label
"This one secret about the real story behind the space program. Sources say it is being covered up by the mainstream media. A source close to the situation, who wished to remain anonymous, confirmed everything.",0
"A report from the central bank's press release released Thursday outlines how a tech company merger has changed, with officials attributing the shift to policy adjustments made over the last week.",1
"Doctors HATE this fact about a local school district is the biggest secret no one is talking about. A source close to the situation, who wished to remain anonymous, confirmed everything.",0
"A report from the Bureau of Labor Statistics released Friday outlines how climate policy has changed, with officials attributing the shift to policy adjustments made over the last quarter.",1
"a spokesperson for the company announced an update on a major sports league on earlier this month, noting that further analysis is expected within the next week.",1
EXPOSED: government spending was secretly manipulated by anonymous insiders. Share this before it gets DELETED!!!,0
"a peer-reviewed study published this week clarified in a press briefing that the space program saw a 13.0% change over the past month, according to figures released on last week.",1
"What the media is HIDING about a natural disaster! was secretly manipulated by anonymous insiders. A source close to the situation, who wished to remain anonymous, confirmed everything.",0
"People are furious after learning that the national health system has been linked to a massive hidden conspiracy. A source close to the situation, who wished to remain anonymous, confirmed everything.",0
"This one secret about a natural disaster! will destroy the economy within days, insiders claim. Mainstream media REFUSES to cover this story.",0
"According to the company's quarterly earnings report, a natural disaster is expected to shift by roughly 16.8% following changes announced on Tuesday.",1
YOU WON'T BELIEVE WHAT HAPPENED WITH a major sports league is a scheme designed to control the public. Mainstream media REFUSES to cover this story.,0
It's finally out: a natural disaster has been linked to a massive hidden conspiracy. This changes EVERYTHING you thought you knew.,0
"Reuters confirmed that the economy saw a 4.5% change over the past year, according to figures released on Wednesday.",1
EXPOSED: climate policy will completely change everything overnight. Share this before it gets DELETED!!!,0
"URGENT WARNING about a local school district is being covered up by the mainstream media. Wake up, people — nobody is reporting this!",0
YOU WON'T BELIEVE WHAT HAPPENED WITH a tech company merger! will completely change everything overnight. You need to see this before it's too late.,0
"election commission officials confirmed in an official statement an update on a local school district on Tuesday, noting that further analysis is expected within the next six months.",1
"In a statement on Wednesday, the central bank's press release clarified in a press briefing new developments regarding the education budget, citing data collected over the past year.",1
"What the media is HIDING about a celebrity's private life is the biggest secret no one is talking about. A source close to the situation, who wished to remain anonymous, confirmed everything.",0
"This one secret about the stock market! has been linked to a massive hidden conspiracy. Wake up, people — nobody is reporting this!",0
"In a statement on Friday, the Bureau of Labor Statistics announced new developments regarding the housing market, citing data collected over the past quarter.",1
EXPOSED: the space program will completely change everything overnight. This changes EVERYTHING you thought you knew.,0
"the university's research team reported an update on the stock market on Thursday, noting that further analysis is expected within the next month.",1
"It's finally out: a political scandal has been linked to a massive hidden conspiracy. Wake up, people — nobody is reporting this!",0
This one secret about a natural disaster! is the biggest secret no one is talking about. The government does not want this getting out.,0
Data compiled by the university's research team and reviewed by independent analysts shows government spending moved by about 1.9% in the last six months.,1
It's finally out: a new social media app has shocked experts who refuse to speak on record. The government does not want this getting out.,0
Data compiled by the national weather service and reviewed by independent analysts shows a natural disaster moved by about 8.1% in the last quarter.,1
"A report from the Bureau of Labor Statistics released Friday outlines how the stock market has changed, with officials attributing the shift to policy adjustments made over the last year.",1
"EXPOSED: a major sports league is the biggest secret no one is talking about. Wake up, people — nobody is reporting this!",0
"the university's research team published findings indicating that a major sports league saw a 17.1% change over the past week, according to figures released on Friday.",1
"Doctors HATE this fact about the national health system! will destroy the economy within days, insiders claim. You need to see this before it's too late.",0
"the mayor's office confirmed in an official statement details about a viral health trend during a briefing held on Wednesday, based on a review spanning the last month.",1
"the Bureau of Labor Statistics reported an update on a tech company merger on Thursday, noting that further analysis is expected within the next year.",1
"It's finally out: the central bank's interest rate decision is a scheme designed to control the public. A source close to the situation, who wished to remain anonymous, confirmed everything.",0
"A report from the Associated Press released last week outlines how the housing market has changed, with officials attributing the shift to policy adjustments made over the last month.",1
"In a statement on Tuesday, court documents said in a statement new developments regarding the housing market, citing data collected over the past quarter.",1
"In a statement on Thursday, the mayor's office reported new developments regarding the presidential election, citing data collected over the past year.",1
"court documents said in a statement that the housing market saw a 10.4% change over the past six months, according to figures released on Thursday.",1
People are furious after learning that the national health system is the biggest secret no one is talking about. You need to see this before it's too late.,0
What the media is HIDING about the real story behind the central bank's interest rate decision. Sources say it will completely change everything overnight. The government does not want this getting out.,0
Data compiled by a peer-reviewed study published this week and reviewed by independent analysts shows the stock market moved by about 11.2% in the last six months.,1
The TRUTH about a local school district has been linked to a massive hidden conspiracy. Experts are too scared to comment publicly.,0
Data compiled by the central bank's press release and reviewed by independent analysts shows a political scandal moved by about 20.4% in the last six months.,1
"It's finally out: a viral health trend is being covered up by the mainstream media. A source close to the situation, who wished to remain anonymous, confirmed everything.",0
"election commission officials said in a statement that climate policy saw a 9.8% change over the past quarter, according to figures released on Thursday.",1
SHOCKING: the stock market! will completely change everything overnight. This changes EVERYTHING you thought you knew.,0
"YOU WON'T BELIEVE WHAT HAPPENED WITH the real story behind the stock market. Sources say it was staged, according to unnamed sources. The government does not want this getting out.",0
The TRUTH about immigration policy! has shocked experts who refuse to speak on record. Mainstream media REFUSES to cover this story.,0
"the central bank's press release clarified in a press briefing an update on a new social media app on Thursday, noting that further analysis is expected within the next six months.",1
It's finally out: government spending is being covered up by the mainstream media. The government does not want this getting out.,0
"A report from the World Health Organization released Tuesday outlines how a major sports league has changed, with officials attributing the shift to policy adjustments made over the last six months.",1
"the World Health Organization confirmed in an official statement details about a natural disaster during a briefing held on Friday, based on a review spanning the last week.",1
YOU WON'T BELIEVE WHAT HAPPENED WITH the national health system! is the biggest secret no one is talking about. Mainstream media REFUSES to cover this story.,0
"the Associated Press said in a statement that a new social media app saw a 20.2% change over the past quarter, according to figures released on Monday.",1
BREAKING (they don't want you to know): a major sports league! has been linked to a massive hidden conspiracy. Share this before it gets DELETED!!!,0
"A report from election commission officials released earlier this month outlines how climate policy has changed, with officials attributing the shift to policy adjustments made over the last six months.",1
"What the media is HIDING about a new social media app is a scheme designed to control the public. Wake up, people — nobody is reporting this!",0
"People are furious after learning that the stock market was staged, according to unnamed sources. You need to see this before it's too late.",0
Data compiled by the Associated Press and reviewed by independent analysts shows the space program moved by about 24.0% in the last month.,1
"YOU WON'T BELIEVE WHAT HAPPENED WITH the new vaccine rollout! has shocked experts who refuse to speak on record. Wake up, people — nobody is reporting this!",0
"URGENT WARNING about a local school district! will destroy the economy within days, insiders claim. Wake up, people — nobody is reporting this!",0
Data compiled by a peer-reviewed study published this week and reviewed by independent analysts shows a viral health trend moved by about 15.5% in the last year.,1
It's finally out: a local school district proves what 'they' have been hiding for years. You need to see this before it's too late.,0
This one secret about the housing market is a scheme designed to control the public. The government does not want this getting out.,0
"In a statement on Friday, the central bank's press release confirmed new developments regarding the housing market, citing data collected over the past quarter.",1
ALERT: the real story behind a local school district. Sources say it is a scheme designed to control the public. Mainstream media REFUSES to cover this story.,0
Doctors HATE this fact about the real story behind the economy. Sources say it proves what 'they' have been hiding for years. This changes EVERYTHING you thought you knew.,0
"A report from the mayor's office released earlier this month outlines how a new social media app has changed, with officials attributing the shift to policy adjustments made over the last week.",1
URGENT WARNING about a political scandal will completely change everything overnight. You need to see this before it's too late.,0
"This one secret about the real story behind a celebrity's private life. Sources say it is a scheme designed to control the public. A source close to the situation, who wished to remain anonymous, confirmed everything.",0
"A report from a spokesperson for the company released Monday outlines how climate policy has changed, with officials attributing the shift to policy adjustments made over the last week.",1
"the mayor's office clarified in a press briefing details about the central bank's interest rate decision during a briefing held on Thursday, based on a review spanning the last week.",1
"People are furious after learning that the new vaccine rollout will destroy the economy within days, insiders claim. Mainstream media REFUSES to cover this story.",0
"the national weather service reported an update on the presidential election on Friday, noting that further analysis is expected within the next six months.",1
"election commission officials confirmed in an official statement an update on a tech company merger on Monday, noting that further analysis is expected within the next month.",1
Data compiled by the company's quarterly earnings report and reviewed by independent analysts shows a celebrity's private life moved by about 13.2% in the last year.,1
"According to the Bureau of Labor Statistics, climate policy is expected to shift by roughly 8.2% following changes announced on Thursday.",1
"the national weather service told reporters that a natural disaster saw a 5.9% change over the past year, according to figures released on Tuesday.",1
LEAKED: the real story behind government spending. Sources say it is the biggest secret no one is talking about. Mainstream media REFUSES to cover this story.,0
It's finally out: the economy was secretly manipulated by anonymous insiders. The government does not want this getting out.,0
"A report from court documents released earlier this month outlines how a viral health trend has changed, with officials attributing the shift to policy adjustments made over the last week.",1
It's finally out: a celebrity's private life proves what 'they' have been hiding for years. Mainstream media REFUSES to cover this story.,0
It's finally out: a natural disaster will completely change everything overnight. Mainstream media REFUSES to cover this story.,0
"A report from the company's quarterly earnings report released Monday outlines how the national health system has changed, with officials attributing the shift to policy adjustments made over the last week.",1
It's finally out: a local school district has shocked experts who refuse to speak on record. The government does not want this getting out.,0
BREAKING (they don't want you to know): a major sports league is the biggest secret no one is talking about. You need to see this before it's too late.,0
"BREAKING (they don't want you to know): the presidential election! has shocked experts who refuse to speak on record. Wake up, people — nobody is reporting this!",0
